EDUCATIONAL ATTAINMENT2,Number,Percent,Number,Percent
"Population
  25 years and over","19,809",100.0,"371,096",100.0
Less than 9th grade,348,1.8,"8,661",2.3
"9th to 12th grade, no diploma","1,124",5.7,"20,726",5.6
"High school graduate (includes
  equivalency)","5,496",27.7,"113,353",30.5
"Some college, no degree","5,216",26.3,"101,199",27.3
Associate's degree,"1,988",10.0,"37,126",10.0
Bachelor's degree,"3,635",18.4,"60,011",16.2
Graduate or professional degree,"2,002",10.1,"30,020",8.1

"Percent
  high school graduate or higher",(X),92.6,(X),92.1
"Percent
  bachelor's degree or higher",(X),28.5,(X),24.3

