"FAMILIES
  AND PEOPLE WHOSE INCOME IS BELOW THE POVERTY LEVEL2",Number,Percent,Number,Percent
"All
  families",466,6.1,"10,532",7.2
With related children under 18 years,400,14.3,"8,494",12.4
Married couple families,191,3.0,"4,139",3.5
With related children under 18 years,137,7.1,"2,719",5.7
"Families with female householder, no husband
  present",250,25.7,"5,472",28.4
With related children under 18 years,238,36.6,"4,982",36.2

"All
  people","2,554",9.3,"60,636",11.0
Under 18 years,732,12.6,"19,470",14.7
18 to 64 years,"1,490",8.8,"36,902",10.6
65 years and over,332,6.9,"4,264",6.3

