"INCOME
  AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)2",Number,Percent,Number,Percent
"Total
  households","11,956",100.0,"221,479",100.0
"Less than $10,000",553,4.6,"11,279",5.1
"$10,000 to $14,999",509,4.3,"10,717",4.8
"$15,000 to $24,999","1,389",11.6,"21,127",9.5
"$25,000 to $34,999","1,528",12.8,"22,992",10.4
"$35,000 to $49,999","1,828",15.3,"31,395",14.2
"$50,000 to $74,999","2,656",22.2,"44,135",19.9
"$75,000 to $99,999","1,637",13.7,"31,949",14.4
"$100,000 to $149,999","1,268",10.6,"32,413",14.6
"$150,000 to $199,999",404,3.4,"9,172",4.1
"$200,000 or more",184,1.5,"6,300",2.8
Median household income (dollars),"$51,449",(X),"$56,573",(X)
Mean household income (dollars),"$64,652",(X),"$70,836",(X)

With earnings,"9,301",77.8,"184,013",83.1
Mean earnings (dollars),"$64,143",(X),"$69,147",(X)
With Social Security,"3,857",32.3,"58,632",26.5
Mean Social Security income (dollars),"$16,812",(X),"$16,806",(X)
With retirement income,"2,457",20.6,"35,970",16.2
Mean retirement income (dollars),"$18,355",(X),"$21,386",(X)

With Supplemental Security Income,365,3.1,"6,552",3.0
"Mean Supplemental Security Income
  (dollars)","$8,041",(X),"$8,539",(X)
With cash public assistance income,109,0.9,"3,444",1.6
"Mean cash public assistance income
  (dollars)","$4,367",(X),"$3,374",(X)
With Food Stamp/SNAP benefits,558,4.7,"12,666",5.7

