"POPULATION -
  RACE/HISPANIC1",Number,Percent,Number,Percent
"All
  Races Combined","28,702",100.0,"576,412",100.0
White Alone,"27,597",96.2,"536,450",93.1
Black or African American Alone,259,0.9,"8,555",1.5
American Indian and Alaska Native Alone,224,0.8,"15,003",2.6
Asian Alone,195,0.7,"5,183",0.9
"Native Hawaiian and Other Pacific
  Islander Alone",22,0.1,575,0.1
Two or More Races,405,1.4,"10,646",1.8

"Hispanic
  (may be of any race)","1,544",5.4,"54,770",9.5
Non-Hispanic,"27,158",94.6,"521,642",90.5
White Alone,"26,188",91.2,"487,822",84.6

