"TOTAL
  ANNUAL WAGES6",Number,Percent,Number,Percent
Total,"$518,171,682",100.0,"$12,419,640,108",100.0
Private,"$369,539,696",71.3,"$9,402,134,549",75.7
"Agriculture, Forestry, Fishing,
  & Hunting","$10,217,973",2.0,"$77,320,968",0.6
"Mining, Quarrying, & Oil &
  Gas Extraction","$63,192,432",12.2,"$2,292,161,480",18.5
Utilities,"$4,076,902",0.8,"$201,510,613",1.6
Construction,"$38,993,793",7.5,"$1,060,383,641",8.5
Manufacturing,"$19,464,464",3.8,"$522,831,750",4.2
Wholesale Trade,"$14,370,601",2.8,"$527,492,048",4.2
Retail Trade,"$43,518,821",8.4,"$796,995,012",6.4
Transportation & Warehousing,"$11,012,111",2.1,"$452,562,477",3.6
Information,"$7,610,408",1.5,"$162,296,930",1.3
Financial Activities,"$16,260,206",3.1,"$528,141,060",4.3
Professional & Business Services,"$33,380,059",6.4,"$875,522,196",7.0
Educational & Health Services,"$57,052,516",11.0,"$1,017,875,287",8.2
Leisure & Hospitality,"$42,121,083",8.1,"$589,074,501",4.7
Other Services,"$8,268,327",1.6,"$297,966,586",2.4
Government,"$148,631,986",28.7,"$3,017,505,559",24.3
Federal Government,"$41,544,665",8.0,"$444,713,124",3.6
State Government,"$9,861,937",1.9,"$693,482,477",5.6
Local Government,"$97,225,384",18.8,"$1,879,309,958",15.1

