TRANSPORTATION12,Number,Percent,Number,Percent
"Number
  of Registered Vehicles","51,678",100.0,"883,401",100.0
Passenger Cars,"18,880",36.5,"348,250",39.4
Trucks,"14,715",28.5,"251,400",28.5
Motorcycles,"1,704",3.3,"29,853",3.4
Trailers (including house trailers),"13,000",25.2,"196,395",22.2
"University of Wyoming Specialty Plates
  (cars & trucks)",235,0.5,"5,025",0.6
Commercial Trucks & Trailers,"1,214",2.3,"24,901",2.8
Others,"1,930",3.7,"27,577",3.1
"Road
  (miles)","1,502",100.0,"29,070",100.0
Federal,357,23.8,"4,089",14.1
State Highway,313,20.9,"6,752",23.2
County Road,619,41.2,"14,620",50.3
Local (City & Town),116,7.8,"2,431",8.4
Other,96,6.4,"1,178",4.1
"Per
  Capita Vehicle Miles Traveled","12,267",(X),"15,659",(X)
"Commercial
  Airport Passengers","55,348",(X),"997,818",(X)

