AVERAGE ANNUAL WAGE6,Number,Percent,Number,Percent
Total,"$39,339",100.0,"$44,580",100.0
Private,"$40,460",102.8,"$44,309",99.4
"Agriculture, Forestry, Fishing,
  & Hunting","$28,828",73.3,"$30,423",68.2
"Mining, Quarrying, & Oil &
  Gas Extraction","$51,194",130.1,"$82,787",185.7
Utilities,"$87,175",221.6,"$81,625",183.1
Construction,"$59,449",151.1,"$49,321",110.6
Manufacturing,"$26,859",68.3,"$55,879",125.3
Wholesale Trade,"$48,371",123.0,"$57,547",129.1
Retail Trade,"$23,483",59.7,"$27,069",60.7
Transportation & Warehousing,"$45,580",115.9,"$47,370",106.3
Information,"$35,434",90.1,"$41,599",93.3
Financial Activities,"$39,647",100.8,"$49,113",110.2
Professional & Business Services,"$32,329",82.2,"$48,614",109.0
Educational & Health Services,"$38,517",97.9,"$40,194",90.2
Leisure & Hospitality,"$12,545",31.9,"$17,365",39.0
Other Services,"$16,306",41.5,"$34,795",78.1
Government,"$36,385",92.5,"$45,442",101.9
Federal Government,"$52,658",133.9,"$59,122",132.6
State Government,"$42,356",107.7,"$51,973",116.6
Local Government,"$31,795",80.8,"$41,270",92.6

