"AVERAGE
  WAGE AND SALARY EMPLOYMENT6",Number,Percent,Number,Percent
Total,"3,420",100.0,"278,595",100.0
Private,"2,479",72.5,"212,193",76.2
"Agriculture, Forestry, Fishing,
  & Hunting",173,5.0,"2,542",0.9
"Mining, Quarrying, & Oil &
  Gas Extraction",74,2.2,"27,688",9.9
Utilities,368,10.8,"2,469",0.9
Construction,237,6.9,"21,500",7.7
Manufacturing,62,1.8,"9,357",3.4
Wholesale Trade,44,1.3,"9,166",3.3
Retail Trade,370,10.8,"29,444",10.6
Transportation & Warehousing,98,2.9,"9,554",3.4
Information,27,0.8,"3,902",1.4
Financial Activities,136,4.0,"10,754",3.9
Professional & Business Services,109,3.2,"18,010",6.5
Educational & Health Services,327,9.6,"25,324",9.1
Leisure & Hospitality,387,11.3,"33,923",12.2
Other Services,68,2.0,"8,564",3.1
Government,941,27.5,"66,403",23.8
Federal Government,121,3.5,"7,522",2.7
State Government,170,5.0,"13,343",4.8
Local Government,650,19.0,"45,538",16.3

