"COMMUTING
  TO OR FROM A DIFFERENT COUNTY FOR WORK",Number,Percent,Number,Percent
"Total
  Commuting Out",409,100.0,"22,542",100.0
"to Goshen County, WY",108,26.4,508,2.3
"to Converse County, WY",74,18.1,"1,222",5.4
"to Laramie County, WY",58,14.2,"3,569",15.8
"to Carbon County, WY",39,9.5,789,3.5
"to Campbell County, WY",36,8.8,"4,290",19.0
to All Other Counties,94,23.0,"12,164",54.0

"Total
  Commuting In",600,100.0,"29,946",100.0
"from Goshen County, WY",279,46.5,"1,235",4.1
"from Albany County, WY",99,16.5,"1,164",3.9
"from Laramie County, WY",63,10.5,"2,069",6.9
"from Denver County, CO",38,6.3,63,0.2
"from Boulder County, CO",27,4.5,127,0.4
from All Other Counties,94,15.7,"25,288",84.4

