EDUCATIONAL ATTAINMENT2,Number,Percent,Number,Percent
"Population
  25 years and over","6,349",100.0,"371,096",100.0
Less than 9th grade,230,3.6,"8,661",2.3
"9th to 12th grade, no diploma",404,6.4,"20,726",5.6
"High school graduate (includes
  equivalency)","2,137",33.7,"113,353",30.5
"Some college, no degree","1,726",27.2,"101,199",27.3
Associate's degree,637,10.0,"37,126",10.0
Bachelor's degree,776,12.2,"60,011",16.2
Graduate or professional degree,439,6.9,"30,020",8.1

"Percent
  high school graduate or higher",(X),90.0,(X),92.1
"Percent
  bachelor's degree or higher",(X),19.1,(X),24.3

