POPULATION - AGE/SEX1,Number,Percent,Number,Percent
Total,"8,756",100.0,"576,412",100.0
Male,"4,401",50.3,"294,281",51.1
Female,"4,355",49.7,"282,131",48.9

Under 5 years,404,4.6,"38,592",6.7
5 to 9 years,468,5.3,"38,895",6.7
10 to 14 years,489,5.6,"36,286",6.3
15 to 19 years,528,6.0,"37,270",6.5
20 to 24 years,379,4.3,"42,591",7.4
25 to 29 years,446,5.1,"41,306",7.2
30 to 34 years,425,4.9,"39,793",6.9
35 to 39 years,408,4.7,"34,061",5.9
40 to 44 years,489,5.6,"34,207",5.9
45 to 49 years,610,7.0,"35,794",6.2
50 to 54 years,749,8.6,"43,170",7.5
55 to 59 years,739,8.4,"43,260",7.5
60 to 64 years,740,8.5,"35,679",6.2
65 to 69 years,618,7.1,"25,651",4.5
70 to 74 years,462,5.3,"17,863",3.1
75 to 79 years,355,4.1,"12,783",2.2
80 to 84 years,242,2.8,"9,990",1.7
85 years and over,205,2.3,"9,221",1.6

Under 18 years,"1,694",19.3,"135,490",23.5
18 to 24 years,574,6.6,"58,144",10.1
25 to 44 years,"1,768",20.2,"149,367",25.9
45 to 64 years,"2,838",32.4,"157,903",27.4
65 years and over,"1,882",21.5,"75,508",13.1

Median age (years),48,NA,36.9,NA

