"POPULATION -
  RACE/HISPANIC1",Number,Percent,Number,Percent
"All
  Races Combined","8,756",100.0,"576,412",100.0
White Alone,"8,475",96.8,"536,450",93.1
Black or African American Alone,51,0.6,"8,555",1.5
American Indian and Alaska Native Alone,70,0.8,"15,003",2.6
Asian Alone,41,0.5,"5,183",0.9
"Native Hawaiian and Other Pacific
  Islander Alone",7,0.1,575,0.1
Two or More Races,112,1.3,"10,646",1.8

"Hispanic
  (may be of any race)",650,7.4,"54,770",9.5
Non-Hispanic,"8,106",92.6,"521,642",90.5
White Alone,"7,879",90.0,"487,822",84.6

