"TOTAL
  ANNUAL WAGES6",Number,Percent,Number,Percent
Total,"$134,537,898",100.0,"$12,419,640,108",100.0
Private,"$100,299,187",74.6,"$9,402,134,549",75.7
"Agriculture, Forestry, Fishing,
  & Hunting","$4,972,821",3.7,"$77,320,968",0.6
"Mining, Quarrying, & Oil &
  Gas Extraction","$3,788,383",2.8,"$2,292,161,480",18.5
Utilities,"$32,102,072",23.9,"$201,510,613",1.6
Construction,"$14,089,344",10.5,"$1,060,383,641",8.5
Manufacturing,"$1,651,845",1.2,"$522,831,750",4.2
Wholesale Trade,"$2,128,318",1.6,"$527,492,048",4.2
Retail Trade,"$8,694,600",6.5,"$796,995,012",6.4
Transportation & Warehousing,"$4,444,010",3.3,"$452,562,477",3.6
Information,"$938,999",0.7,"$162,296,930",1.3
Financial Activities,"$5,401,966",4.0,"$528,141,060",4.3
Professional & Business Services,"$3,523,890",2.6,"$875,522,196",7.0
Educational & Health Services,"$12,594,980",9.4,"$1,017,875,287",8.2
Leisure & Hospitality,"$4,855,054",3.6,"$589,074,501",4.7
Other Services,"$1,112,905",0.8,"$297,966,586",2.4
Government,"$34,238,711",25.4,"$3,017,505,559",24.3
Federal Government,"$6,384,820",4.7,"$444,713,124",3.6
State Government,"$7,179,414",5.3,"$693,482,477",5.6
Local Government,"$20,674,477",15.4,"$1,879,309,958",15.1

