TRANSPORTATION12,Number,Percent,Number,Percent
"Number
  of Registered Vehicles","17,600",100.0,"883,401",100.0
Passenger Cars,"5,989",34.0,"348,250",39.4
Trucks,"5,406",30.7,"251,400",28.5
Motorcycles,517,2.9,"29,853",3.4
Trailers (including house trailers),"4,498",25.6,"196,395",22.2
"University of Wyoming Specialty Plates
  (cars & trucks)",130,0.7,"5,025",0.6
Commercial Trucks & Trailers,365,2.1,"24,901",2.8
Others,695,3.9,"27,577",3.1
"Road
  (miles)",947,100.0,"29,070",100.0
Federal,7,0.7,"4,089",14.1
State Highway,263,27.7,"6,752",23.2
County Road,598,63.1,"14,620",50.3
Local (City & Town),54,5.7,"2,431",8.4
Other,25,2.7,"1,178",4.1
"Per
  Capita Vehicle Miles Traveled","31,792",(X),"15,659",(X)
"Commercial
  Airport Passengers",0,(X),"997,818",(X)

