VALUATION AND TAXES8,Number,Percent,Number,Percent
"Total
  Assessed Valuation","$162,202,614",100.0,"$22,797,094,335",100.0
Non-Minerals,"$159,204,746",98.2,"$9,290,528,889",40.8
Agriculture,"$13,791,166",8.5,"$253,014,175",1.1
Residential,"$47,834,183",29.5,"$4,292,823,158",18.8
Commercial,"$11,228,962",6.9,"$1,198,642,514",5.3
Industrial,"$2,977,602",1.8,"$2,162,592,241",9.5
Other,"$83,372,833",51.4,"$1,383,456,801",6.1
Minerals,"$2,997,868",1.8,"$13,506,565,446",59.2
Oil,"$43,917",0.0,"$4,229,997,989",18.6
Natural gas,$0,0.0,"$4,470,657,938",19.6
Coal,$0,0.0,"$4,054,979,229",17.8
Other minerals,"$2,953,951",1.8,"$750,930,290",3.3
"Total
  Property Taxes","$11,559,477",(X),"$1,463,519,560",(X)
"Average
  Mill Levy",71.3,(X),64.2,(X)

"4% Sales
  and Use Tax Collections","$7,013,258",(X),"$700,228,831",(X)

"LANDOWNERSHIP9 (square
  miles)",Number,Percent,Number,Percent
"Total
  Land","2,084.2",100.0,"97,093.1",100.0
U.S. Government,147.5,7.1,"46,535.4",47.9
National Park Service,0.0,0.0,"3,657.6",3.8
Forest Service,1.8,0.1,"14,390.9",14.8
Fish and Wildlife,0.0,0.0,80.3,0.1
Bureau of Land Management,129.0,6.2,"27,162.8",28.0
Bureau of Reclamation,16.7,0.8,"1,243.8",1.3
Wyoming,246.6,11.8,"6,042.7",6.2
State Lands Commission,246.0,11.8,"5,773.5",5.9
Recreation Commission,0.5,0.0,11.8,0.0
Game and Fish,0.1,0.0,257.4,0.3
Local Government,2.3,0.1,192.0,0.2
County,2.1,0.1,36.7,0.0
City and Town,0.1,0.0,78.3,0.1
School District and College,0.1,0.0,44.3,0.0
Other Lands,91.9,4.4,"3,155.5",3.2

Surface Water,26.0,1.2,735.2,0.8
Total Public,488.2,23.4,"55,925.5",57.6
Total Private,"1,596.0",76.6,"41,167.6",42.4

