"AVERAGE
  WAGE AND SALARY EMPLOYMENT6",Number,Percent,Number,Percent
Total,"12,841",100.0,"278,595",100.0
Private,"9,491",73.9,"212,193",76.2
"Agriculture, Forestry, Fishing,
  & Hunting",302,2.4,"2,542",0.9
"Mining, Quarrying, & Oil &
  Gas Extraction",295,2.3,"27,688",9.9
Utilities,58,0.4,"2,469",0.9
Construction,921,7.2,"21,500",7.7
Manufacturing,386,3.0,"9,357",3.4
Wholesale Trade,347,2.7,"9,166",3.3
Retail Trade,"1,594",12.4,"29,444",10.6
Transportation & Warehousing,329,2.6,"9,554",3.4
Information,187,1.5,"3,902",1.4
Financial Activities,561,4.4,"10,754",3.9
Professional & Business Services,961,7.5,"18,010",6.5
Educational & Health Services,"1,458",11.4,"25,324",9.1
Leisure & Hospitality,"1,606",12.5,"33,923",12.2
Other Services,489,3.8,"8,564",3.1
Government,"3,351",26.1,"66,403",23.8
Federal Government,724,5.6,"7,522",2.7
State Government,351,2.7,"13,343",4.8
Local Government,"2,276",17.7,"45,538",16.3

