"COMMUTING
  TO OR FROM A DIFFERENT COUNTY FOR WORK",Number,Percent,Number,Percent
"Total
  Commuting Out","1,599",100.0,"22,542",100.0
"to Big Horn County, MT",577,36.1,595,2.6
"to Johnson County, WY",400,25.0,675,3.0
"to Campbell County, WY",335,21.0,"4,290",19.0
to Kuwait,44,2.8,44,0.2
"to Big Horn County, WY",32,2.0,491,2.2
to All Other Counties,211,13.2,"16,447",73.0

"Total
  Commuting In",548,100.0,"29,946",100.0
"from Johnson County, WY",296,54.0,574,1.9
"from Big Horn County, MT",49,8.9,49,0.2
"from Yellowstone County, MT",45,8.2,167,0.6
"from Canyon County, ID",36,6.6,98,0.3
"from Big Horn County, WY",29,5.3,922,3.1
from All Other Counties,93,17.0,"28,136",94.0

