EDUCATIONAL ATTAINMENT2,Number,Percent,Number,Percent
"Population
  25 years and over","20,354",100.0,"371,096",100.0
Less than 9th grade,311,1.5,"8,661",2.3
"9th to 12th grade, no diploma",889,4.4,"20,726",5.6
"High school graduate (includes
  equivalency)","6,179",30.4,"113,353",30.5
"Some college, no degree","5,876",28.9,"101,199",27.3
Associate's degree,"1,948",9.6,"37,126",10.0
Bachelor's degree,"3,516",17.3,"60,011",16.2
Graduate or professional degree,"1,635",8.0,"30,020",8.1

"Percent
  high school graduate or higher",(X),94.1,(X),92.1
"Percent
  bachelor's degree or higher",(X),25.3,(X),24.3

