"INCOME
  AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)2",Number,Percent,Number,Percent
"Total
  households","12,446",100.0,"221,479",100.0
"Less than $10,000",686,5.5,"11,279",5.1
"$10,000 to $14,999",603,4.8,"10,717",4.8
"$15,000 to $24,999","1,165",9.4,"21,127",9.5
"$25,000 to $34,999","1,672",13.4,"22,992",10.4
"$35,000 to $49,999","1,794",14.4,"31,395",14.2
"$50,000 to $74,999","2,455",19.7,"44,135",19.9
"$75,000 to $99,999","1,888",15.2,"31,949",14.4
"$100,000 to $149,999","1,534",12.3,"32,413",14.6
"$150,000 to $199,999",356,2.9,"9,172",4.1
"$200,000 or more",293,2.4,"6,300",2.8
Median household income (dollars),"$52,352",(X),"$56,573",(X)
Mean household income (dollars),"$63,998",(X),"$70,836",(X)

With earnings,"9,815",78.9,"184,013",83.1
Mean earnings (dollars),"$64,389",(X),"$69,147",(X)
With Social Security,"3,695",29.7,"58,632",26.5
Mean Social Security income (dollars),"$15,783",(X),"$16,806",(X)
With retirement income,"2,220",17.8,"35,970",16.2
Mean retirement income (dollars),"$19,533",(X),"$21,386",(X)

With Supplemental Security Income,378,3.0,"6,552",3.0
"Mean Supplemental Security Income
  (dollars)","$8,951",(X),"$8,539",(X)
With cash public assistance income,172,1.4,"3,444",1.6
"Mean cash public assistance income
  (dollars)","$6,909",(X),"$3,374",(X)
With Food Stamp/SNAP benefits,461,3.7,"12,666",5.7

