POPULATION - AGE/SEX1,Number,Percent,Number,Percent
Total,"29,596",100.0,"576,412",100.0
Male,"14,755",49.9,"294,281",51.1
Female,"14,841",50.1,"282,131",48.9

Under 5 years,"1,759",5.9,"38,592",6.7
5 to 9 years,"1,793",6.1,"38,895",6.7
10 to 14 years,"1,755",5.9,"36,286",6.3
15 to 19 years,"1,905",6.4,"37,270",6.5
20 to 24 years,"1,611",5.4,"42,591",7.4
25 to 29 years,"1,717",5.8,"41,306",7.2
30 to 34 years,"1,703",5.8,"39,793",6.9
35 to 39 years,"1,694",5.7,"34,061",5.9
40 to 44 years,"1,751",5.9,"34,207",5.9
45 to 49 years,"1,802",6.1,"35,794",6.2
50 to 54 years,"2,282",7.7,"43,170",7.5
55 to 59 years,"2,582",8.7,"43,260",7.5
60 to 64 years,"2,257",7.6,"35,679",6.2
65 to 69 years,"1,652",5.6,"25,651",4.5
70 to 74 years,"1,183",4.0,"17,863",3.1
75 to 79 years,756,2.6,"12,783",2.2
80 to 84 years,721,2.4,"9,990",1.7
85 years and over,673,2.3,"9,221",1.6

Under 18 years,"6,411",21.7,"135,490",23.5
18 to 24 years,"2,412",8.1,"58,144",10.1
25 to 44 years,"6,865",23.2,"149,367",25.9
45 to 64 years,"8,923",30.1,"157,903",27.4
65 years and over,"4,985",16.8,"75,508",13.1

Median age (years),42.4,NA,36.9,NA

