PUBLIC SCHOOL STATISTICS10,Number,Percent
"Number
  of School Districts",3,(X),48,(X)
"Number
  of Schools",21,(X),351,(X)
"Fall
  Enrollment","4,272",(X),"90,993",(X)
"Composite
  ACT score (Grade 11)",21.2,(X),19.7,(X)
"High
  School Graduates (4 year on time)",261,(X),"5,300",(X)
Graduation Rate,81.8%,(X),77.6%,(X)
"Average
  Daily Membership (ADM)","4,241",(X),"89,832",(X)
"Certified
  Teachers",362,(X),"7,350",(X)
"Certified
  Staff",74,(X),"1,538",(X)
Administration,42,(X),746,(X)
"Classified
  Staff",300,(X),"6,940",(X)
"Students
  Transported Daily","1,161",(X),"31,351",(X)
"Total
  General Fund Revenues","$62,776,349",(X),"$1,370,360,482",(X)
"Total
  General Fund Expenditures","$63,802,387",(X),"$1,353,837,570",(X)
"Operating
  Cost Per ADM","$16,648",(X),"$17,156",(X)
"% of
  Students with Free or Reduced Lunch (2013-14)",35.8%,(X),37.6%,(X)

