TRANSPORTATION12,Number,Percent,Number,Percent
"Number
  of Registered Vehicles","46,247",100.0,"883,401",100.0
Passenger Cars,"18,459",39.9,"348,250",39.4
Trucks,"12,388",26.8,"251,400",28.5
Motorcycles,"1,622",3.5,"29,853",3.4
Trailers (including house trailers),"10,852",23.5,"196,395",22.2
"University of Wyoming Specialty Plates
  (cars & trucks)",270,0.6,"5,025",0.6
Commercial Trucks & Trailers,660,1.4,"24,901",2.8
Others,"1,996",4.3,"27,577",3.1
"Road
  (miles)","1,072",100.0,"29,070",100.0
Federal,103,9.6,"4,089",14.1
State Highway,269,25.1,"6,752",23.2
County Road,508,47.4,"14,620",50.3
Local (City & Town),113,10.5,"2,431",8.4
Other,79,7.4,"1,178",4.1
"Per
  Capita Vehicle Miles Traveled","10,484",(X),"15,659",(X)
"Commercial
  Airport Passengers","26,471",(X),"997,818",(X)

