"FAMILIES
  AND PEOPLE WHOSE INCOME IS BELOW THE POVERTY LEVEL2",Number,Percent,Number,Percent
"All
  families",66,2.5,"10,532",7.2
With related children under 18 years,32,2.1,"8,494",12.4
Married couple families,51,2.2,"4,139",3.5
With related children under 18 years,17,1.3,"2,719",5.7
"Families with female householder, no husband
  present",15,8.2,"5,472",28.4
With related children under 18 years,15,12.2,"4,982",36.2

"All
  people",479,4.8,"60,636",11.0
Under 18 years,129,5.4,"19,470",14.7
18 to 64 years,339,5.1,"36,902",10.6
65 years and over,11,1.1,"4,264",6.3

