"HOME
  VALUE2",Number,Percent,Number,Percent
"Owner-occupied
  units","2,675",100.0,"155,659",100.0
"Less than $50,000",86,3.2,"16,506",10.6
"$50,000 to $99,999",69,2.6,"14,553",9.3
"$100,000 to $149,999",132,4.9,"23,529",15.1
"$150,000 to $199,999",243,9.1,"32,655",21.0
"$200,000 to $299,999",996,37.2,"38,465",24.7
"$300,000 to $499,999",819,30.6,"20,225",13.0
"$500,000 to $999,999",185,6.9,"6,826",4.4
"$1,000,000 or more",145,5.4,"2,900",1.9
Median (dollars),"$282,400",(X),"$184,400",(X)

