HOUSEHOLDS BY TYPE2,Number,Percent,Number,Percent
"Total
  households","3,522",100.0,"221,479",100.0
Family households (families),"2,683",76.2,"145,992",65.9
"With own children under 18
  years","1,490",42.3,"63,449",28.6
Married-couple family,"2,370",67.3,"117,493",53.0
"With own children under 18
  years","1,294",36.7,"45,297",20.5
"Male householder, no wife present,
  family",130,3.7,"9,246",4.2
"With own children under 18
  years",79,2.2,"5,912",2.7
"Female householder, no husband
  present, family",183,5.2,"19,253",8.7
"With own children under 18
  years",117,3.3,"12,240",5.5
Nonfamily households,839,23.8,"75,487",34.1
Householder living alone,700,19.9,"61,207",27.6
65 years and over,197,5.6,"20,074",9.1

"Households with one or more people under 18
  years","1,519",43.1,"69,185",31.2
"Households with one or more people 65 years
  and over",677,19.2,"49,189",22.2

"Average
  household size",2.79,(X),2.48,(X)
"Average
  family size",3.16,(X),3.02,(X)

