"INCOME
  AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)2",Number,Percent,Number,Percent
"Total
  households","3,522",100.0,"221,479",100.0
"Less than $10,000",78,2.2,"11,279",5.1
"$10,000 to $14,999",80,2.3,"10,717",4.8
"$15,000 to $24,999",191,5.4,"21,127",9.5
"$25,000 to $34,999",223,6.3,"22,992",10.4
"$35,000 to $49,999",372,10.6,"31,395",14.2
"$50,000 to $74,999",661,18.8,"44,135",19.9
"$75,000 to $99,999",556,15.8,"31,949",14.4
"$100,000 to $149,999",726,20.6,"32,413",14.6
"$150,000 to $199,999",454,12.9,"9,172",4.1
"$200,000 or more",181,5.1,"6,300",2.8
Median household income (dollars),"$79,776",(X),"$56,573",(X)
Mean household income (dollars),"$93,160",(X),"$70,836",(X)

With earnings,"3,122",88.6,"184,013",83.1
Mean earnings (dollars),"$90,136",(X),"$69,147",(X)
With Social Security,802,22.8,"58,632",26.5
Mean Social Security income (dollars),"$17,434",(X),"$16,806",(X)
With retirement income,388,11.0,"35,970",16.2
Mean retirement income (dollars),"$19,879",(X),"$21,386",(X)

With Supplemental Security Income,78,2.2,"6,552",3.0
"Mean Supplemental Security Income
  (dollars)","$14,656",(X),"$8,539",(X)
With cash public assistance income,0,0.0,"3,444",1.6
"Mean cash public assistance income
  (dollars)",-,(X),"$3,374",(X)
With Food Stamp/SNAP benefits,76,2.2,"12,666",5.7

