POPULATION - AGE/SEX1,Number,Percent,Number,Percent
Total,"10,368",100.0,"576,412",100.0
Male,"5,622",54.2,"294,281",51.1
Female,"4,746",45.8,"282,131",48.9

Under 5 years,647,6.2,"38,592",6.7
5 to 9 years,692,6.7,"38,895",6.7
10 to 14 years,667,6.4,"36,286",6.3
15 to 19 years,611,5.9,"37,270",6.5
20 to 24 years,564,5.4,"42,591",7.4
25 to 29 years,684,6.6,"41,306",7.2
30 to 34 years,768,7.4,"39,793",6.9
35 to 39 years,722,7.0,"34,061",5.9
40 to 44 years,699,6.7,"34,207",5.9
45 to 49 years,778,7.5,"35,794",6.2
50 to 54 years,868,8.4,"43,170",7.5
55 to 59 years,835,8.1,"43,260",7.5
60 to 64 years,654,6.3,"35,679",6.2
65 to 69 years,462,4.5,"25,651",4.5
70 to 74 years,284,2.7,"17,863",3.1
75 to 79 years,200,1.9,"12,783",2.2
80 to 84 years,123,1.2,"9,990",1.7
85 years and over,110,1.1,"9,221",1.6

Under 18 years,"2,405",23.2,"135,490",23.5
18 to 24 years,776,7.5,"58,144",10.1
25 to 44 years,"2,873",27.7,"149,367",25.9
45 to 64 years,"3,135",30.2,"157,903",27.4
65 years and over,"1,179",11.4,"75,508",13.1

Median age (years),38.8,NA,36.9,NA

