AVERAGE ANNUAL WAGE6,Number,Percent,Number,Percent
Total,"$55,826",100.0,"$44,580",100.0
Private,"$58,702",105.2,"$44,309",99.4
"Agriculture, Forestry, Fishing,
  & Hunting","$27,864",49.9,"$30,423",68.2
"Mining, Quarrying, & Oil &
  Gas Extraction","$89,639",160.6,"$82,787",185.7
Utilities,"$87,096",156.0,"$81,625",183.1
Construction,"$53,986",96.7,"$49,321",110.6
Manufacturing,"$83,464",149.5,"$55,879",125.3
Wholesale Trade,"$59,340",106.3,"$57,547",129.1
Retail Trade,"$28,357",50.8,"$27,069",60.7
Transportation & Warehousing,"$58,217",104.3,"$47,370",106.3
Information,"$28,319",50.7,"$41,599",93.3
Financial Activities,"$60,296",108.0,"$49,113",110.2
Professional & Business Services,"$56,027",100.4,"$48,614",109.0
Educational & Health Services,"$33,814",60.6,"$40,194",90.2
Leisure & Hospitality,"$15,514",27.8,"$17,365",39.0
Other Services,"$30,691",55.0,"$34,795",78.1
Government,"$43,118",77.2,"$45,442",101.9
Federal Government,"$60,181",107.8,"$59,122",132.6
State Government,"$51,754",92.7,"$51,973",116.6
Local Government,"$41,590",74.5,"$41,270",92.6

