"COMMUTING
  TO OR FROM A DIFFERENT COUNTY FOR WORK",Number,Percent,Number,Percent
"Total
  Commuting Out","1,107",100.0,"22,542",100.0
"to Sublette County, WY",414,37.4,"2,016",8.9
"to Uinta County, WY",190,17.2,869,3.9
"to Lincoln County, WY",81,7.3,816,3.6
"to Carbon County, WY",69,6.2,789,3.5
"to Daggett County, UT",41,3.7,41,0.2
to All Other Counties,312,28.2,"18,011",79.9

"Total
  Commuting In","3,333",100.0,"29,946",100.0
"from Uinta County, WY",984,29.5,"1,709",5.7
"from Carbon County, WY",481,14.4,682,2.3
"from Fremont County, WY",224,6.7,"1,017",3.4
"from Laramie County, WY",125,3.8,"2,069",6.9
"from Weber County, UT",92,2.8,192,0.6
from All Other Counties,"1,427",42.8,"24,277",81.1

