EDUCATIONAL ATTAINMENT2,Number,Percent,Number,Percent
"Population
  25 years and over","27,584",100.0,"371,096",100.0
Less than 9th grade,942,3.4,"8,661",2.3
"9th to 12th grade, no diploma","1,738",6.3,"20,726",5.6
"High school graduate (includes
  equivalency)","9,931",36.0,"113,353",30.5
"Some college, no degree","7,420",26.9,"101,199",27.3
Associate's degree,"2,862",10.4,"37,126",10.0
Bachelor's degree,"3,418",12.4,"60,011",16.2
Graduate or professional degree,"1,273",4.6,"30,020",8.1

"Percent
  high school graduate or higher",(X),90.3,(X),92.1
"Percent
  bachelor's degree or higher",(X),17.0,(X),24.3

