"HOME
  VALUE2",Number,Percent,Number,Percent
"Owner-occupied
  units","11,792",100.0,"155,659",100.0
"Less than $50,000","2,175",18.4,"16,506",10.6
"$50,000 to $99,999","1,291",10.9,"14,553",9.3
"$100,000 to $149,999","1,298",11.0,"23,529",15.1
"$150,000 to $199,999","2,029",17.2,"32,655",21.0
"$200,000 to $299,999","3,538",30.0,"38,465",24.7
"$300,000 to $499,999","1,233",10.5,"20,225",13.0
"$500,000 to $999,999",143,1.2,"6,826",4.4
"$1,000,000 or more",85,0.7,"2,900",1.9
Median (dollars),"$174,600",(X),"$184,400",(X)

