HOUSEHOLDS BY TYPE2,Number,Percent,Number,Percent
"Total
  households","16,535",100.0,"221,479",100.0
Family households (families),"11,714",70.8,"145,992",65.9
"With own children under 18
  years","5,794",35.0,"63,449",28.6
Married-couple family,"9,496",57.4,"117,493",53.0
"With own children under 18
  years","4,256",25.7,"45,297",20.5
"Male householder, no wife present,
  family",779,4.7,"9,246",4.2
"With own children under 18
  years",562,3.4,"5,912",2.7
"Female householder, no husband
  present, family","1,439",8.7,"19,253",8.7
"With own children under 18
  years",976,5.9,"12,240",5.5
Nonfamily households,"4,821",29.2,"75,487",34.1
Householder living alone,"3,782",22.9,"61,207",27.6
65 years and over,"1,049",6.3,"20,074",9.1

"Households with one or more people under 18
  years","6,348",38.4,"69,185",31.2
"Households with one or more people 65 years
  and over","2,643",16.0,"49,189",22.2

"Average
  household size",2.61,(X),2.48,(X)
"Average
  family size",3.09,(X),3.02,(X)

