POPULATION - AGE/SEX1,Number,Percent,Number,Percent
Total,"45,267",100.0,"576,412",100.0
Male,"23,615",52.2,"294,281",51.1
Female,"21,652",47.8,"282,131",48.9

Under 5 years,"3,572",7.9,"38,592",6.7
5 to 9 years,"3,582",7.9,"38,895",6.7
10 to 14 years,"3,223",7.1,"36,286",6.3
15 to 19 years,"3,008",6.6,"37,270",6.5
20 to 24 years,"3,208",7.1,"42,591",7.4
25 to 29 years,"3,650",8.1,"41,306",7.2
30 to 34 years,"3,709",8.2,"39,793",6.9
35 to 39 years,"2,975",6.6,"34,061",5.9
40 to 44 years,"2,673",5.9,"34,207",5.9
45 to 49 years,"2,744",6.1,"35,794",6.2
50 to 54 years,"3,358",7.4,"43,170",7.5
55 to 59 years,"3,237",7.2,"43,260",7.5
60 to 64 years,"2,353",5.2,"35,679",6.2
65 to 69 years,"1,456",3.2,"25,651",4.5
70 to 74 years,958,2.1,"17,863",3.1
75 to 79 years,620,1.4,"12,783",2.2
80 to 84 years,491,1.1,"9,990",1.7
85 years and over,450,1.0,"9,221",1.6

Under 18 years,"12,216",27.0,"135,490",23.5
18 to 24 years,"4,377",9.7,"58,144",10.1
25 to 44 years,"13,007",28.7,"149,367",25.9
45 to 64 years,"11,692",25.8,"157,903",27.4
65 years and over,"3,975",8.8,"75,508",13.1

Median age (years),33.1,NA,36.9,NA

