TRANSPORTATION12,Number,Percent,Number,Percent
"Number
  of Registered Vehicles","69,564",100.0,"883,401",100.0
Passenger Cars,"26,297",37.8,"348,250",39.4
Trucks,"20,865",30.0,"251,400",28.5
Motorcycles,"2,406",3.5,"29,853",3.4
Trailers (including house trailers),"14,962",21.5,"196,395",22.2
"University of Wyoming Specialty Plates
  (cars & trucks)",446,0.6,"5,025",0.6
Commercial Trucks & Trailers,"2,408",3.5,"24,901",2.8
Others,"2,180",3.1,"27,577",3.1
"Road
  (miles)","2,140",100.0,"29,070",100.0
Federal,172,8.1,"4,089",14.1
State Highway,573,26.8,"6,752",23.2
County Road,"1,193",55.8,"14,620",50.3
Local (City & Town),179,8.4,"2,431",8.4
Other,22,1.0,"1,178",4.1
"Per
  Capita Vehicle Miles Traveled","26,180",(X),"15,659",(X)
"Commercial
  Airport Passengers","61,700",(X),"997,818",(X)

