"AVERAGE
  WAGE AND SALARY EMPLOYMENT6",Number,Percent,Number,Percent
Total,"17,419",100.0,"278,595",100.0
Private,"15,171",87.1,"212,193",76.2
"Agriculture, Forestry, Fishing,
  & Hunting",63,0.4,"2,542",0.9
"Mining, Quarrying, & Oil &
  Gas Extraction",3,0.0,"27,688",9.9
Utilities,35,0.2,"2,469",0.9
Construction,"1,650",9.5,"21,500",7.7
Manufacturing,138,0.8,"9,357",3.4
Wholesale Trade,156,0.9,"9,166",3.3
Retail Trade,"1,780",10.2,"29,444",10.6
Transportation & Warehousing,329,1.9,"9,554",3.4
Information,229,1.3,"3,902",1.4
Financial Activities,793,4.6,"10,754",3.9
Professional & Business Services,"1,599",9.2,"18,010",6.5
Educational & Health Services,989,5.7,"25,324",9.1
Leisure & Hospitality,"6,868",39.4,"33,923",12.2
Other Services,541,3.1,"8,564",3.1
Government,"2,247",12.9,"66,403",23.8
Federal Government,405,2.3,"7,522",2.7
State Government,105,0.6,"13,343",4.8
Local Government,"1,738",10.0,"45,538",16.3

