"COMMUTING
  TO OR FROM A DIFFERENT COUNTY FOR WORK",Number,Percent,Number,Percent
"Total
  Commuting Out",477,100.0,"22,542",100.0
"to Sublette County, WY",125,26.2,"2,016",8.9
"to Lincoln County, WY",82,17.2,816,3.6
"to Teton County, ID",72,15.1,87,0.4
"to Santa Barbara County, CA",64,13.4,64,0.3
"to Cook County, IL",45,9.4,67,0.3
to All Other Counties,89,18.7,"19,492",86.5

"Total
  Commuting In","3,807",100.0,"29,946",100.0
"from Teton County, ID","1,643",43.2,"1,656",5.5
"from Lincoln County, WY","1,180",31.0,"1,840",6.1
"from Sublette County, WY",200,5.3,343,1.1
"from Bonneville County, ID",155,4.1,241,0.8
"from Jefferson County, ID",71,1.9,73,0.2
from All Other Counties,558,14.7,"25,793",86.1

