EDUCATIONAL ATTAINMENT2,Number,Percent,Number,Percent
"Population
  25 years and over","15,712",100.0,"371,096",100.0
Less than 9th grade,332,2.1,"8,661",2.3
"9th to 12th grade, no diploma",285,1.8,"20,726",5.6
"High school graduate (includes
  equivalency)","3,731",23.7,"113,353",30.5
"Some college, no degree","3,009",19.2,"101,199",27.3
Associate's degree,657,4.2,"37,126",10.0
Bachelor's degree,"5,412",34.4,"60,011",16.2
Graduate or professional degree,"2,286",14.5,"30,020",8.1

"Percent
  high school graduate or higher",(X),96.1,(X),92.1
"Percent
  bachelor's degree or higher",(X),49.0,(X),24.3

