"HOME
  VALUE2",Number,Percent,Number,Percent
"Owner-occupied
  units","4,461",100.0,"155,659",100.0
"Less than $50,000",124,2.8,"16,506",10.6
"$50,000 to $99,999",119,2.7,"14,553",9.3
"$100,000 to $149,999",186,4.2,"23,529",15.1
"$150,000 to $199,999",109,2.4,"32,655",21.0
"$200,000 to $299,999",304,6.8,"38,465",24.7
"$300,000 to $499,999",525,11.8,"20,225",13.0
"$500,000 to $999,999","1,914",42.9,"6,826",4.4
"$1,000,000 or more","1,180",26.5,"2,900",1.9
Median (dollars),"$692,700",(X),"$184,400",(X)

