"INCOME
  AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)2",Number,Percent,Number,Percent
"Total
  households","7,327",100.0,"221,479",100.0
"Less than $10,000",229,3.1,"11,279",5.1
"$10,000 to $14,999",160,2.2,"10,717",4.8
"$15,000 to $24,999",427,5.8,"21,127",9.5
"$25,000 to $34,999",574,7.8,"22,992",10.4
"$35,000 to $49,999","1,053",14.4,"31,395",14.2
"$50,000 to $74,999","1,505",20.5,"44,135",19.9
"$75,000 to $99,999","1,073",14.6,"31,949",14.4
"$100,000 to $149,999","1,235",16.9,"32,413",14.6
"$150,000 to $199,999",451,6.2,"9,172",4.1
"$200,000 or more",620,8.5,"6,300",2.8
Median household income (dollars),"$69,020",(X),"$56,573",(X)
Mean household income (dollars),"$106,027",(X),"$70,836",(X)

With earnings,"6,339",86.5,"184,013",83.1
Mean earnings (dollars),"$84,857",(X),"$69,147",(X)
With Social Security,"1,329",18.1,"58,632",26.5
Mean Social Security income (dollars),"$18,975",(X),"$16,806",(X)
With retirement income,610,8.3,"35,970",16.2
Mean retirement income (dollars),"$35,062",(X),"$21,386",(X)

With Supplemental Security Income,40,0.5,"6,552",3.0
"Mean Supplemental Security Income
  (dollars)","$20,573",(X),"$8,539",(X)
With cash public assistance income,35,0.5,"3,444",1.6
"Mean cash public assistance income
  (dollars)",$423,(X),"$3,374",(X)
With Food Stamp/SNAP benefits,150,2.0,"12,666",5.7

