PUBLIC SCHOOL STATISTICS10,Number,Percent
"Number
  of School Districts",1,(X),48,(X)
"Number
  of Schools",9,(X),351,(X)
"Fall
  Enrollment","2,487",(X),"90,993",(X)
"Composite
  ACT score (Grade 11)",21.6,(X),19.7,(X)
"High
  School Graduates (4 year on time)",138,(X),"5,300",(X)
Graduation Rate,89.0%,(X),77.6%,(X)
"Average
  Daily Membership (ADM)","2,455",(X),"89,832",(X)
"Certified
  Teachers",209,(X),"7,350",(X)
"Certified
  Staff",46,(X),"1,538",(X)
Administration,15,(X),746,(X)
"Classified
  Staff",157,(X),"6,940",(X)
"Students
  Transported Daily",0,(X),"31,351",(X)
"Total
  General Fund Revenues","$40,310,397",(X),"$1,370,360,482",(X)
"Total
  General Fund Expenditures","$40,431,515",(X),"$1,353,837,570",(X)
"Operating
  Cost Per ADM","$18,563",(X),"$17,156",(X)
"% of
  Students with Free or Reduced Lunch (2013-14)",27.0%,(X),37.6%,(X)

