VALUATION AND TAXES8,Number,Percent,Number,Percent
"Total
  Assessed Valuation","$1,102,294,171",100.0,"$22,797,094,335",100.0
Non-Minerals,"$1,101,401,146",99.9,"$9,290,528,889",40.8
Agriculture,"$1,889,986",0.2,"$253,014,175",1.1
Residential,"$934,480,257",84.8,"$4,292,823,158",18.8
Commercial,"$155,369,925",14.1,"$1,198,642,514",5.3
Industrial,"$654,916",0.1,"$2,162,592,241",9.5
Other,"$9,006,062",0.8,"$1,383,456,801",6.1
Minerals,"$893,025",0.1,"$13,506,565,446",59.2
Oil,$0,0.0,"$4,229,997,989",18.6
Natural gas,$0,0.0,"$4,470,657,938",19.6
Coal,$0,0.0,"$4,054,979,229",17.8
Other minerals,"$893,025",0.1,"$750,930,290",3.3
"Total
  Property Taxes","$65,280,841",(X),"$1,463,519,560",(X)
"Average
  Mill Levy",59.2,(X),64.2,(X)

"4% Sales
  and Use Tax Collections","$40,172,183",(X),"$700,228,831",(X)

"LANDOWNERSHIP9 (square
  miles)",Number,Percent,Number,Percent
"Total
  Land","3,995.4",100.0,"97,093.1",100.0
U.S. Government,"3,897.2",97.5,"46,535.4",47.9
National Park Service,"1,804.7",45.2,"3,657.6",3.8
Forest Service,"2,018.9",50.5,"14,390.9",14.8
Fish and Wildlife,36.5,0.9,80.3,0.1
Bureau of Land Management,3.9,0.1,"27,162.8",28.0
Bureau of Reclamation,33.3,0.8,"1,243.8",1.3
Wyoming,8.2,0.2,"6,042.7",6.2
State Lands Commission,7.0,0.2,"5,773.5",5.9
Recreation Commission,0.0,0.0,11.8,0.0
Game and Fish,1.2,0.0,257.4,0.3
Local Government,1.0,0.0,192.0,0.2
County,0.5,0.0,36.7,0.0
City and Town,0.5,0.0,78.3,0.1
School District and College,0.1,0.0,44.3,0.0
Other Lands,1.6,0.0,"3,155.5",3.2

Surface Water,214.0,5.4,735.2,0.8
Total Public,"3,908.1",97.8,"55,925.5",57.6
Total Private,87.3,2.2,"41,167.6",42.4

