AVERAGE ANNUAL WAGE6,Number,Percent,Number,Percent
Total,"$41,042",100.0,"$44,580",100.0
Private,"$42,164",102.7,"$44,309",99.4
"Agriculture, Forestry, Fishing,
  & Hunting","$24,679",60.1,"$30,423",68.2
"Mining, Quarrying, & Oil &
  Gas Extraction","$86,810",211.5,"$82,787",185.7
Utilities,"$76,564",186.6,"$81,625",183.1
Construction,"$55,403",135.0,"$49,321",110.6
Manufacturing,"$49,631",120.9,"$55,879",125.3
Wholesale Trade,"$60,303",146.9,"$57,547",129.1
Retail Trade,"$22,004",53.6,"$27,069",60.7
Transportation & Warehousing,"$56,881",138.6,"$47,370",106.3
Information,"$55,728",135.8,"$41,599",93.3
Financial Activities,"$42,287",103.0,"$49,113",110.2
Professional & Business Services,"$42,744",104.1,"$48,614",109.0
Educational & Health Services,"$29,724",72.4,"$40,194",90.2
Leisure & Hospitality,"$13,246",32.3,"$17,365",39.0
Other Services,"$30,920",75.3,"$34,795",78.1
Government,"$37,367",91.0,"$45,442",101.9
Federal Government,"$50,243",122.4,"$59,122",132.6
State Government,"$46,249",112.7,"$51,973",116.6
Local Government,"$33,993",82.8,"$41,270",92.6

