"COMMUTING
  TO OR FROM A DIFFERENT COUNTY FOR WORK",Number,Percent,Number,Percent
"Total
  Commuting Out","1,709",100.0,"22,542",100.0
"to Sweetwater County, WY",984,57.6,"3,333",14.8
"to Lincoln County, WY",141,8.3,816,3.6
"to Sublette County, WY",121,7.1,"2,016",8.9
"to Salt Lake County, UT",69,4.0,173,0.8
"to Summit County, UT",59,3.5,59,0.3
to All Other Counties,335,19.6,"16,145",71.6

"Total
  Commuting In",869,100.0,"29,946",100.0
"from Sweetwater County, WY",190,21.9,"1,107",3.7
"from Salt Lake County, UT",119,13.7,457,1.5
"from Lincoln County, WY",99,11.4,"1,840",6.1
"from Rich County, UT",92,10.6,163,0.5
"from Davis County, UT",53,6.1,89,0.3
from All Other Counties,316,36.4,"26,290",87.8

