EDUCATIONAL ATTAINMENT2,Number,Percent,Number,Percent
"Population
  25 years and over","13,063",100.0,"371,096",100.0
Less than 9th grade,347,2.7,"8,661",2.3
"9th to 12th grade, no diploma","1,186",9.1,"20,726",5.6
"High school graduate (includes
  equivalency)","4,565",34.9,"113,353",30.5
"Some college, no degree","3,533",27.0,"101,199",27.3
Associate's degree,"1,045",8.0,"37,126",10.0
Bachelor's degree,"1,704",13.0,"60,011",16.2
Graduate or professional degree,683,5.2,"30,020",8.1

"Percent
  high school graduate or higher",(X),88.3,(X),92.1
"Percent
  bachelor's degree or higher",(X),18.3,(X),24.3

