"HEALTH CARE AND RISK
  FACTORS13",Number,Percent,Number,Percent
"Licensed
  Hospitals",1,(X),27,(X)
Bed Capacity,42,(X),"1,386",(X)
"Licensed
  Nursing Care Facilities",1,(X),38,(X)
Bed Capacity,60,(X),"2,950",(X)
Occupancy Rate,67.0%,(X),80.9%,(X)
"Medicaid
  Beneficiaries","3,715",17.7,"87,069",15.1
"Enrollment
  in State Children Health Insurance Program",363,5.6,"8,846",6.2
"Percent of Adults with BMI (weight in kg/height in meters
  squared) Larger Than 30",29.3%,(X),25.2%,(X)
"Percent of Adults who reported having 5 or more drinks on
  an occasion at least once in the past 30 days",13.7%,(X),15.6%,(X)
"Percent of Adults who reported having smoked at least 100
  cigarettes in their life time and are currently smoking",19.6%,(X),22.2%,(X)

