"TOTAL
  ANNUAL WAGES6",Number,Percent,Number,Percent
Total,"$374,571,845",100.0,"$12,419,640,108",100.0
Private,"$294,820,506",78.7,"$9,402,134,549",75.7
"Agriculture, Forestry, Fishing,
  & Hunting","$752,719",0.2,"$77,320,968",0.6
"Mining, Quarrying, & Oil &
  Gas Extraction","$53,149,541",14.2,"$2,292,161,480",18.5
Utilities,"$6,814,232",1.8,"$201,510,613",1.6
Construction,"$60,541,780",16.2,"$1,060,383,641",8.5
Manufacturing,"$15,844,742",4.2,"$522,831,750",4.2
Wholesale Trade,"$15,889,830",4.2,"$527,492,048",4.2
Retail Trade,"$24,083,865",6.4,"$796,995,012",6.4
Transportation & Warehousing,"$18,002,685",4.8,"$452,562,477",3.6
Information,"$13,890,262",3.7,"$162,296,930",1.3
Financial Activities,"$13,975,813",3.7,"$528,141,060",4.3
Professional & Business Services,"$23,167,010",6.2,"$875,522,196",7.0
Educational & Health Services,"$33,676,980",9.0,"$1,017,875,287",8.2
Leisure & Hospitality,"$10,037,481",2.7,"$589,074,501",4.7
Other Services,"$4,993,566",1.3,"$297,966,586",2.4
Government,"$79,751,339",21.3,"$3,017,505,559",24.3
Federal Government,"$3,416,529",0.9,"$444,713,124",3.6
State Government,"$22,974,102",6.1,"$693,482,477",5.6
Local Government,"$53,360,708",14.2,"$1,879,309,958",15.1

