AVERAGE ANNUAL WAGE6,Number,Percent,Number,Percent
Total,"$38,306",100.0,"$44,580",100.0
Private,"$37,800",98.7,"$44,309",99.4
"Agriculture, Forestry, Fishing,
  & Hunting","$30,877",80.6,"$30,423",68.2
"Mining, Quarrying, & Oil &
  Gas Extraction","$81,667",213.2,"$82,787",185.7
Utilities,"$69,969",182.7,"$81,625",183.1
Construction,"$42,172",110.1,"$49,321",110.6
Manufacturing,"$46,499",121.4,"$55,879",125.3
Wholesale Trade,"$35,615",93.0,"$57,547",129.1
Retail Trade,"$30,289",79.1,"$27,069",60.7
Transportation & Warehousing,"$48,084",125.5,"$47,370",106.3
Information,"$40,822",106.6,"$41,599",93.3
Financial Activities,"$37,969",99.1,"$49,113",110.2
Professional & Business Services,"$34,870",91.0,"$48,614",109.0
Educational & Health Services,"$35,733",93.3,"$40,194",90.2
Leisure & Hospitality,"$11,976",31.3,"$17,365",39.0
Other Services,"$18,527",48.4,"$34,795",78.1
Government,"$40,051",104.6,"$45,442",101.9
Federal Government,"$56,812",148.3,"$59,122",132.6
State Government,"$49,345",128.8,"$51,973",116.6
Local Government,"$33,431",87.3,"$41,270",92.6

