"COMMUTING
  TO OR FROM A DIFFERENT COUNTY FOR WORK",Number,Percent,Number,Percent
"Total
  Commuting Out",220,100.0,"22,542",100.0
"to Fremont County, WY",70,31.8,565,2.5
"to Big Horn County, WY",35,15.9,491,2.2
"to Gallatin County, MT",25,11.4,36,0.2
"to Hot Springs County, WY",12,5.5,162,0.7
"to Campbell County, WY",11,5.0,"4,290",19.0
to All Other Counties,67,30.5,"16,998",75.4

"Total
  Commuting In",355,100.0,"29,946",100.0
"from Hot Springs County, WY",128,36.1,353,1.2
"from Big Horn County, WY",106,29.9,922,3.1
"from Park County, WY",52,14.6,994,3.3
"from Arapahoe County, CO",18,5.1,125,0.4
"from Natrona County, WY",15,4.2,"1,676",5.6
from All Other Counties,36,10.1,"25,876",86.4

