EDUCATIONAL ATTAINMENT2,Number,Percent,Number,Percent
"Population
  25 years and over","5,647",100.0,"371,096",100.0
Less than 9th grade,156,2.8,"8,661",2.3
"9th to 12th grade, no diploma",364,6.4,"20,726",5.6
"High school graduate (includes
  equivalency)","1,829",32.4,"113,353",30.5
"Some college, no degree","1,514",26.8,"101,199",27.3
Associate's degree,466,8.3,"37,126",10.0
Bachelor's degree,917,16.2,"60,011",16.2
Graduate or professional degree,401,7.1,"30,020",8.1

"Percent
  high school graduate or higher",(X),90.8,(X),92.1
"Percent
  bachelor's degree or higher",(X),23.3,(X),24.3

