"POPULATION -
  RACE/HISPANIC1",Number,Percent,Number,Percent
"All
  Races Combined","8,464",100.0,"576,412",100.0
White Alone,"8,069",95.3,"536,450",93.1
Black or African American Alone,41,0.5,"8,555",1.5
American Indian and Alaska Native Alone,138,1.6,"15,003",2.6
Asian Alone,66,0.8,"5,183",0.9
"Native Hawaiian and Other Pacific
  Islander Alone",6,0.1,575,0.1
Two or More Races,144,1.7,"10,646",1.8

"Hispanic
  (may be of any race)","1,185",14.0,"54,770",9.5
Non-Hispanic,"7,279",86.0,"521,642",90.5
White Alone,"7,026",83.0,"487,822",84.6

