VALUATION AND TAXES8,Number,Percent,Number,Percent
"Total
  Assessed Valuation","$150,096,775",100.0,"$22,797,094,335",100.0
Non-Minerals,"$92,043,482",61.3,"$9,290,528,889",40.8
Agriculture,"$7,559,260",5.0,"$253,014,175",1.1
Residential,"$47,763,131",31.8,"$4,292,823,158",18.8
Commercial,"$13,449,022",9.0,"$1,198,642,514",5.3
Industrial,"$12,932,699",8.6,"$2,162,592,241",9.5
Other,"$10,339,370",6.9,"$1,383,456,801",6.1
Minerals,"$58,053,293",38.7,"$13,506,565,446",59.2
Oil,"$49,916,575",33.3,"$4,229,997,989",18.6
Natural gas,"$4,531,899",3.0,"$4,470,657,938",19.6
Coal,$0,0.0,"$4,054,979,229",17.8
Other minerals,"$3,604,819",2.4,"$750,930,290",3.3
"Total
  Property Taxes","$10,632,414",(X),"$1,463,519,560",(X)
"Average
  Mill Levy",70.8,(X),64.2,(X)

"4% Sales
  and Use Tax Collections","$5,798,604",(X),"$700,228,831",(X)

"LANDOWNERSHIP9 (square
  miles)",Number,Percent,Number,Percent
"Total
  Land","2,238.5",100.0,"97,093.1",100.0
U.S. Government,"1,499.1",67.0,"46,535.4",47.9
National Park Service,0.0,0.0,"3,657.6",3.8
Forest Service,56.4,2.5,"14,390.9",14.8
Fish and Wildlife,0.0,0.0,80.3,0.1
Bureau of Land Management,"1,441.0",64.4,"27,162.8",28.0
Bureau of Reclamation,1.7,0.1,"1,243.8",1.3
Wyoming,162.0,7.2,"6,042.7",6.2
State Lands Commission,161.3,7.2,"5,773.5",5.9
Recreation Commission,0.0,0.0,11.8,0.0
Game and Fish,0.7,0.0,257.4,0.3
Local Government,3.6,0.2,192.0,0.2
County,n/a,n/a,36.7,0.0
City and Town,n/a,n/a,78.3,0.1
School District and College,n/a,n/a,44.3,0.0
Other Lands,2.8,0.1,"3,155.5",3.2

Surface Water,2.7,0.1,735.2,0.8
Total Public,"1,667.6",74.5,"55,925.5",57.6
Total Private,570.9,25.5,"41,167.6",42.4

