AVERAGE ANNUAL WAGE6,Number,Percent,Number,Percent
Total,"$35,722",100.0,"$44,580",100.0
Private,"$34,468",96.5,"$44,309",99.4
"Agriculture, Forestry, Fishing,
  & Hunting","$27,501",77.0,"$30,423",68.2
"Mining, Quarrying, & Oil &
  Gas Extraction","$52,371",146.6,"$82,787",185.7
Utilities,"$99,059",277.3,"$81,625",183.1
Construction,"$41,877",117.2,"$49,321",110.6
Manufacturing,"$62,132",173.9,"$55,879",125.3
Wholesale Trade,"$39,439",110.4,"$57,547",129.1
Retail Trade,"$21,763",60.9,"$27,069",60.7
Transportation & Warehousing,"$44,281",124.0,"$47,370",106.3
Information,"$23,648",66.2,"$41,599",93.3
Financial Activities,"$34,281",96.0,"$49,113",110.2
Professional & Business Services,"$54,117",151.5,"$48,614",109.0
Educational & Health Services,"$25,041",70.1,"$40,194",90.2
Leisure & Hospitality,"$11,097",31.1,"$17,365",39.0
Other Services,"$26,992",75.6,"$34,795",78.1
Government,"$38,003",106.4,"$45,442",101.9
Federal Government,"$48,123",134.7,"$59,122",132.6
State Government,"$47,481",132.9,"$51,973",116.6
Local Government,"$34,703",97.1,"$41,270",92.6

