"AVERAGE
  WAGE AND SALARY EMPLOYMENT6",Number,Percent,Number,Percent
Total,"2,294",100.0,"278,595",100.0
Private,"1,480",64.5,"212,193",76.2
"Agriculture, Forestry, Fishing,
  & Hunting",33,1.4,"2,542",0.9
"Mining, Quarrying, & Oil &
  Gas Extraction",138,6.0,"27,688",9.9
Utilities,6,0.3,"2,469",0.9
Construction,147,6.4,"21,500",7.7
Manufacturing,139,6.0,"9,357",3.4
Wholesale Trade,50,2.2,"9,166",3.3
Retail Trade,253,11.0,"29,444",10.6
Transportation & Warehousing,94,4.1,"9,554",3.4
Information,33,1.4,"3,902",1.4
Financial Activities,71,3.1,"10,754",3.9
Professional & Business Services,77,3.4,"18,010",6.5
Educational & Health Services,218,9.5,"25,324",9.1
Leisure & Hospitality,185,8.1,"33,923",12.2
Other Services,37,1.6,"8,564",3.1
Government,814,35.5,"66,403",23.8
Federal Government,53,2.3,"7,522",2.7
State Government,154,6.7,"13,343",4.8
Local Government,606,26.4,"45,538",16.3

