"COMMUTING
  TO OR FROM A DIFFERENT COUNTY FOR WORK",Number,Percent,Number,Percent
"Total
  Commuting Out",867,100.0,"22,542",100.0
"to Campbell County, WY",747,86.2,"4,290",19.0
"to Crook County, WY",66,7.6,455,2.0
"to Natrona County, WY",15,1.7,"2,080",9.2
"to Niobrara County, WY",15,1.7,148,0.7
"to Big Horn County, WY",12,1.4,491,2.2
to All Other Counties,12,1.4,"15,078",66.9

"Total
  Commuting in",269,100.0,"29,946",100.0
"from Custer County, SD",62,23.0,144,0.5
"from Niobrara County, WY",57,21.2,151,0.5
"from Pennington County, SD",53,19.7,296,1.0
"from Campbell County, WY",32,11.9,381,1.3
"from Natrona County, WY",25,9.3,"1,676",5.6
from All Other Counties,40,14.9,"27,298",91.2

