EDUCATIONAL ATTAINMENT2,Number,Percent,Number,Percent
"Population
  25 years and over","4,962",100.0,"371,096",100.0
Less than 9th grade,66,1.3,"8,661",2.3
"9th to 12th grade, no diploma",372,7.5,"20,726",5.6
"High school graduate (includes
  equivalency)","1,883",37.9,"113,353",30.5
"Some college, no degree","1,397",28.2,"101,199",27.3
Associate's degree,376,7.6,"37,126",10.0
Bachelor's degree,700,14.1,"60,011",16.2
Graduate or professional degree,168,3.4,"30,020",8.1

"Percent
  high school graduate or higher",(X),91.2,(X),92.1
"Percent
  bachelor's degree or higher",(X),17.5,(X),24.3

