"FAMILIES
  AND PEOPLE WHOSE INCOME IS BELOW THE POVERTY LEVEL2",Number,Percent,Number,Percent
"All
  families",199,10.4,"10,532",7.2
With related children under 18 years,171,21.6,"8,494",12.4
Married couple families,55,3.4,"4,139",3.5
With related children under 18 years,27,4.9,"2,719",5.7
"Families with female householder, no husband
  present",78,41.3,"5,472",28.4
With related children under 18 years,78,52.0,"4,982",36.2

"All
  people",944,13.8,"60,636",11.0
Under 18 years,415,26.2,"19,470",14.7
18 to 64 years,407,9.8,"36,902",10.6
65 years and over,122,11.3,"4,264",6.3

