"HOME
  VALUE2",Number,Percent,Number,Percent
"Owner-occupied
  units","2,330",100.0,"155,659",100.0
"Less than $50,000",417,17.9,"16,506",10.6
"$50,000 to $99,999",496,21.3,"14,553",9.3
"$100,000 to $149,999",347,14.9,"23,529",15.1
"$150,000 to $199,999",362,15.5,"32,655",21.0
"$200,000 to $299,999",487,20.9,"38,465",24.7
"$300,000 to $499,999",97,4.2,"20,225",13.0
"$500,000 to $999,999",101,4.3,"6,826",4.4
"$1,000,000 or more",23,1.0,"2,900",1.9
Median (dollars),"$131,200",(X),"$184,400",(X)

