"INCOME
  AND BENEFITS (IN 2012 INFLATION-ADJUSTED DOLLARS)2",Number,Percent,Number,Percent
"Total
  households","2,958",100.0,"221,479",100.0
"Less than $10,000",172,5.8,"11,279",5.1
"$10,000 to $14,999",168,5.7,"10,717",4.8
"$15,000 to $24,999",272,9.2,"21,127",9.5
"$25,000 to $34,999",261,8.8,"22,992",10.4
"$35,000 to $49,999",540,18.3,"31,395",14.2
"$50,000 to $74,999",521,17.6,"44,135",19.9
"$75,000 to $99,999",477,16.1,"31,949",14.4
"$100,000 to $149,999",373,12.6,"32,413",14.6
"$150,000 to $199,999",143,4.8,"9,172",4.1
"$200,000 or more",31,1.0,"6,300",2.8
Median household income (dollars),"$53,802",(X),"$56,573",(X)
Mean household income (dollars),"$64,946",(X),"$70,836",(X)

With earnings,"2,230",75.4,"184,013",83.1
Mean earnings (dollars),"$69,150",(X),"$69,147",(X)
With Social Security,920,31.1,"58,632",26.5
Mean Social Security income (dollars),"$16,609",(X),"$16,806",(X)
With retirement income,568,19.2,"35,970",16.2
Mean retirement income (dollars),"$17,775",(X),"$21,386",(X)

With Supplemental Security Income,97,3.3,"6,552",3.0
"Mean Supplemental Security Income
  (dollars)","$8,411",(X),"$8,539",(X)
With cash public assistance income,22,0.7,"3,444",1.6
"Mean cash public assistance income
  (dollars)","$2,509",(X),"$3,374",(X)
With Food Stamp/SNAP benefits,129,4.4,"12,666",5.7

