"POPULATION -
  RACE/HISPANIC1",Number,Percent,Number,Percent
"All
  Races Combined","7,082",100.0,"576,412",100.0
White Alone,"6,758",95.4,"536,450",93.1
Black or African American Alone,46,0.6,"8,555",1.5
American Indian and Alaska Native Alone,119,1.7,"15,003",2.6
Asian Alone,23,0.3,"5,183",0.9
"Native Hawaiian and Other Pacific
  Islander Alone",2,0.0,575,0.1
Two or More Races,134,1.9,"10,646",1.8

"Hispanic
  (may be of any race)",256,3.6,"54,770",9.5
Non-Hispanic,"6,826",96.4,"521,642",90.5
White Alone,"6,549",92.5,"487,822",84.6

