PUBLIC SCHOOL STATISTICS10,Number,Percent
"Number
  of School Districts",2,(X),48,(X)
"Number
  of Schools",7,(X),351,(X)
"Fall
  Enrollment","1,044",(X),"90,993",(X)
"Composite
  ACT score (Grade 11)",19.1,(X),19.7,(X)
"High
  School Graduates (4 year on time)",73,(X),"5,300",(X)
Graduation Rate,84.9%,(X),77.6%,(X)
"Average
  Daily Membership (ADM)","1,033",(X),"89,832",(X)
"Certified
  Teachers",102,(X),"7,350",(X)
"Certified
  Staff",16,(X),"1,538",(X)
Administration,20,(X),746,(X)
"Classified
  Staff",94,(X),"6,940",(X)
"Students
  Transported Daily",353,(X),"31,351",(X)
"Total
  General Fund Revenues","$19,155,758",(X),"$1,370,360,482",(X)
"Total
  General Fund Expenditures","$18,791,468",(X),"$1,353,837,570",(X)
"Operating
  Cost Per ADM","$20,376",(X),"$17,156",(X)
"% of
  Students with Free or Reduced Lunch (2013-14)",34.8%,(X),37.6%,(X)

