"TOTAL
  ANNUAL WAGES6",Number,Percent,Number,Percent
Total,"$81,929,409",100.0,"$12,419,640,108",100.0
Private,"$51,004,329",62.3,"$9,402,134,549",75.7
"Agriculture, Forestry, Fishing,
  & Hunting","$907,524",1.1,"$77,320,968",0.6
"Mining, Quarrying, & Oil &
  Gas Extraction","$7,201,068",8.8,"$2,292,161,480",18.5
Utilities,"$594,352",0.7,"$201,510,613",1.6
Construction,"$6,166,389",7.5,"$1,060,383,641",8.5
Manufacturing,"$8,620,857",10.5,"$522,831,750",4.2
Wholesale Trade,"$1,962,069",2.4,"$527,492,048",4.2
Retail Trade,"$5,495,094",6.7,"$796,995,012",6.4
Transportation & Warehousing,"$4,162,397",5.1,"$452,562,477",3.6
Information,"$774,484",0.9,"$162,296,930",1.3
Financial Activities,"$2,442,538",3.0,"$528,141,060",4.3
Professional & Business Services,"$4,166,980",5.1,"$875,522,196",7.0
Educational & Health Services,"$5,458,890",6.7,"$1,017,875,287",8.2
Leisure & Hospitality,"$2,052,980",2.5,"$589,074,501",4.7
Other Services,"$998,707",1.2,"$297,966,586",2.4
Government,"$30,925,080",37.7,"$3,017,505,559",24.3
Federal Government,"$2,562,535",3.1,"$444,713,124",3.6
State Government,"$7,323,920",8.9,"$693,482,477",5.6
Local Government,"$21,038,625",25.7,"$1,879,309,958",15.1

