TRANSPORTATION12,Number,Percent,Number,Percent
"Number
  of Registered Vehicles","12,668",100.0,"883,401",100.0
Passenger Cars,"4,297",33.9,"348,250",39.4
Trucks,"3,946",31.1,"251,400",28.5
Motorcycles,504,4.0,"29,853",3.4
Trailers (including house trailers),"3,023",23.9,"196,395",22.2
"University of Wyoming Specialty Plates
  (cars & trucks)",67,0.5,"5,025",0.6
Commercial Trucks & Trailers,362,2.9,"24,901",2.8
Others,469,3.7,"27,577",3.1
"Road
  (miles)",850,100.0,"29,070",100.0
Federal,75,8.9,"4,089",14.1
State Highway,206,24.3,"6,752",23.2
County Road,522,61.4,"14,620",50.3
Local (City & Town),36,4.2,"2,431",8.4
Other,11,1.3,"1,178",4.1
"Per
  Capita Vehicle Miles Traveled","11,442",(X),"15,659",(X)
"Commercial
  Airport Passengers",0,(X),"997,818",(X)

