GEO.id,GEO.id2,GEO.display-label,rescen42010,resbase42010,respop72010,respop72011,respop72012,respop72013,respop72014,respop72015,respop72016,respop72017
0500000US56001,56001,"Albany County, Wyoming",36299,36299,36433,36883,37332,37573,37793,38036,37987,38332
0500000US56003,56003,"Big Horn County, Wyoming",11668,11668,11667,11726,11765,11939,11859,11956,11941,11906
0500000US56005,56005,"Campbell County, Wyoming",46133,46133,46233,46560,47861,48051,48192,49293,48800,46242
0500000US56007,56007,"Carbon County, Wyoming",15885,15885,15849,15848,15732,15861,15907,15645,15727,15303
0500000US56009,56009,"Converse County, Wyoming",13833,13833,13821,13736,14025,14365,14219,14312,14127,13809
0500000US56011,56011,"Crook County, Wyoming",7083,7083,7119,7123,7141,7153,7245,7432,7497,7410
0500000US56013,56013,"Fremont County, Wyoming",40123,40123,40195,40520,41022,40911,40573,40237,40245,39803
0500000US56015,56015,"Goshen County, Wyoming",13249,13247,13422,13580,13642,13551,13544,13566,13355,13378
0500000US56017,56017,"Hot Springs County, Wyoming",4812,4812,4809,4808,4833,4834,4789,4717,4669,4696
0500000US56019,56019,"Johnson County, Wyoming",8569,8569,8587,8645,8637,8637,8584,8616,8496,8476
0500000US56021,56021,"Laramie County, Wyoming",91738,91881,92219,92587,94704,95731,96123,97005,97968,98327
0500000US56023,56023,"Lincoln County, Wyoming",18106,18106,18094,18009,17938,18312,18567,18736,19076,19265
0500000US56025,56025,"Natrona County, Wyoming",75450,75450,75456,76421,78583,81101,81439,82134,80892,79547
0500000US56027,56027,"Niobrara County, Wyoming",2484,2484,2491,2483,2476,2544,2489,2496,2470,2397
0500000US56029,56029,"Park County, Wyoming",28205,28205,28248,28546,28933,29170,29119,29110,29412,29568
0500000US56031,56031,"Platte County, Wyoming",8667,8667,8664,8695,8730,8707,8776,8797,8675,8562
0500000US56033,56033,"Sheridan County, Wyoming",29116,29116,29123,29254,29528,29735,29888,29940,30049,30210
0500000US56035,56035,"Sublette County, Wyoming",10247,10247,10254,10189,10481,10172,10155,10056,10002,9799
0500000US56037,56037,"Sweetwater County, Wyoming",43806,43806,43569,44013,45042,45145,44981,44732,44245,43534
0500000US56039,56039,"Teton County, Wyoming",21294,21294,21295,21476,21709,22326,22817,23029,23180,23265
0500000US56041,56041,"Uinta County, Wyoming",21118,21118,21093,20899,20999,20960,20845,20780,20711,20495
0500000US56043,56043,"Washakie County, Wyoming",8533,8533,8537,8460,8421,8427,8288,8296,8188,8064
0500000US56045,56045,"Weston County, Wyoming",7208,7208,7198,7141,7074,7136,7142,7181,7198,6927
