County,2010-census,2010-base,2010,2011,2012,2013,2014,2015,2016,2017
Albany,36299,36299,36433,36883,37332,37573,37793,38036,37987,38332
Big Horn,11668,11668,11667,11726,11765,11939,11859,11956,11941,11906
Campbell,46133,46133,46233,46560,47861,48051,48192,49293,48800,46242
Carbon,15885,15885,15849,15848,15732,15861,15907,15645,15727,15303
Converse,13833,13833,13821,13736,14025,14365,14219,14312,14127,13809
Crook,7083,7083,7119,7123,7141,7153,7245,7432,7497,7410
Fremont,40123,40123,40195,40520,41022,40911,40573,40237,40245,39803
Goshen,13249,13247,13422,13580,13642,13551,13544,13566,13355,13378
Hot Springs,4812,4812,4809,4808,4833,4834,4789,4717,4669,4696
Johnson,8569,8569,8587,8645,8637,8637,8584,8616,8496,8476
Laramie,91738,91881,92219,92587,94704,95731,96123,97005,97968,98327
Lincoln,18106,18106,18094,18009,17938,18312,18567,18736,19076,19265
Natrona,75450,75450,75456,76421,78583,81101,81439,82134,80892,79547
Niobrara,2484,2484,2491,2483,2476,2544,2489,2496,2470,2397
Park,28205,28205,28248,28546,28933,29170,29119,29110,29412,29568
Platte,8667,8667,8664,8695,8730,8707,8776,8797,8675,8562
Sheridan,29116,29116,29123,29254,29528,29735,29888,29940,30049,30210
Sublette,10247,10247,10254,10189,10481,10172,10155,10056,10002,9799
Sweetwater,43806,43806,43569,44013,45042,45145,44981,44732,44245,43534
Teton,21294,21294,21295,21476,21709,22326,22817,23029,23180,23265
Uinta,21118,21118,21093,20899,20999,20960,20845,20780,20711,20495
Washakie,8533,8533,8537,8460,8421,8427,8288,8296,8188,8064
Weston,7208,7208,7198,7141,7074,7136,7142,7181,7198,6927
